TT Simple|Fake description|Simple|0|1|0|50|True
TT Eternal|Fake description here as well|Eternal|0|1|25|0|False
TT Checklist|Fake description yet again|Checklist|0|5|15|50|False
TT2 Simple|Desc|Simple|0|1|0|50|False
TT2 Eternal|Desc|Eternal|0|1|15|0|False
TT2 Checklist|Desc|Checklist|2|10|10|1000|False
(Test Title: Simple 3)|Desc. 3|Simple|0|1|0|50|False
(Test Title: Eternal 3)|Desc. 3|Eternal|0|1|16|0|False
(Test Title: Checklist 3)|Desc. 3|Checklist|2|8|14|800|False
Dishwasher|Empty when I get home.|Simple|0|1|0|9000|True
