promptId|used|prompt
01|0|Describe your perfect day.
02|0|What made you smile today?
03|0|List three things you're grateful for.
04|0|Write about a goal you want to achieve.
05|0|Who inspires you and why?
06|0|What do you love most about yourself?
07|0|Write about a time you overcame a challenge.
08|0|What's your favorite memory from childhood?
09|0|Describe a place where you feel most at peace.
10|0|What does happiness mean to you?
11|0|Write about a time you felt proud of yourself.
12|0|What is something you learned recently?
13|0|How do you recharge after a long day?
14|0|What makes you feel creative?
15|0|What is your favorite book and why?
16|0|Write a letter to your future self.
17|0|What is your biggest dream?
18|0|Describe a moment that changed your life.
19|0|What is your favorite way to relax?
20|0|What are you most passionate about?
21|0|Write about a time you helped someone.
22|0|What is a habit you want to build?
23|0|What does success look like to you?
24|0|Who is someone you miss, and why?
25|0|Write about a skill you wish you had.
26|0|What is your favorite season and why?
27|0|Describe a time when you felt truly alive.
28|0|What do you value most in friendships?
29|0|What is something you wish others knew about you?
30|0|Write about a fear you have and how you could overcome it.
31|0|What is the best advice you've ever received?
32|0|What motivates you to keep going?
33|0|Write about a time when you felt at peace.
34|0|What do you love most about your favorite hobby?
35|0|How would you describe yourself in three words?
36|0|Write about a place you'd love to visit.
37|0|What is your favorite thing about mornings?
38|0|Describe a person who has had a positive impact on your life.
39|0|What is your favorite way to spend a weekend?
40|0|Write about a dream you remember vividly.
41|0|What is your definition of love?
42|0|What are you looking forward to this month?
43|0|What makes you feel strong?
44|0|Write about a time you made a difficult decision.
45|0|How do you show kindness to others?
46|0|What is something you want to let go of?
47|0|What is your favorite thing about nature?
48|0|Write about a lesson you've learned the hard way.
49|0|What are three things you love about your home?
50|0|Describe a time when you felt truly connected to someone.
